"STT","Tên nhiệm vụ","Người làm","Mô tả","Ngày thực hiện","Ngày kết thúc","Trạng thái"
"1","Cấu hình Supabase cho Backend","","- Kết nối ứng dụng NestJS gốc với cơ sở dữ liệu Supabase PostgreSQL
- Cài đặt cấu hình thư viện truy xuất `@supabase/supabase-js`, `@nestjs/config`
- Khởi tạo `SupabaseClient` sử dụng Service Role Key để điều khiển toàn lưu lượng dữ liệu
- Đăng ký phân hệ kết nối này thành Global Module để tái dùng ở mọi Service khác
- Thiết lập biến môi trường nội bộ `.env` bảo mật URL, Key và cấu hình sinh JWT
- Khởi chạy truy vấn xác minh kết nối Ping Database tới bảng `phong_ban`","","","Chưa bắt đầu"
"2","Xây dựng Common Modules","","- Tích hợp `ValidationPipe` toàn cục: tự động bắt Validation Schema dữ liệu Client gửi lên và báo lỗi tiếng Việt
- Thiết lập `TransformInterceptor` bọc dữ liệu của toàn bộ Response API theo định dạng mẫu `{ success, data/message }`
- Thiết lập `HttpExceptionFilter` kiểm soát mã lỗi HTTP và viết lại thông điệp lỗi nhất quán
- Khởi tạo lớp cha `BaseCrudService` tái lặp chức năng Thêm/Sửa/Xóa/Phân trang; chuẩn hóa thuật toán bắt lỗi khi chèn trùng mã và lỗi bẽ gãy vi phạm khóa ngoại","","","Chưa bắt đầu"
"3","Module Xác thực (Auth) – Backend","","- Cài đặt tích hợp các mảng Authentication Package thư viện `@nestjs/jwt`, `bcrypt` và `passport`
- Xây dựng API Đầu vào `/auth/login`: đối soát hàm hash mật khẩu đã lưu, sinh chữ ký Access Token JWT, truy vấn và trả tài khoản
- Xây dựng API Lấy Thông tin `/auth/me`: phân giải payload token JWT định quyền thông tin hệ thống của nhân viên đăng nhập
- Xây dựng API `/auth/change-password`: mã hóa mảng mật khẩu nhập từ chuỗi text vào thuật toán băm Bcrypt mới cho CSDL
- Quản trị `JwtAuthGuard` khóa chặt chặn việc rò rỉ dữ liệu Endpoints đối với Request ngoài hệ thống","","","Chưa bắt đầu"
"4","Phân quyền vai trò – Backend & Frontend","","- (Backend) Áp dụng thuật toán Access Control Role Hierarchy chốt phân 3 vai trò: Admin, IT, User
- (Backend) Bọc Guard tại các Service thao tác và cập nhật Logic (User chỉ gởi Get Request vào đồ dùng được cấp phát cho chính tài khoản cấp cho họ)
- (Frontend) Phân lớp quản lý State trạng thái Session Identity tại Browser
- (Frontend) Render Component tùy biến chức năng, chặn hiển thị Layout Dashboard hoặc Button Xóa, Action với mảng cấp dưới User","","","Chưa bắt đầu"
"5","Module Xác thực (Auth) – Frontend","","- Lập trình Form HTML Giao diện xác thực Login, tích hợp Form Hook Zod Schema Validate kiểm soát rủi ro
- Bảo mật chuỗi HTTP Header JWT Token bên trong Session/LocalStorage tĩnh
- Cài cắm module Axios Interceptor cấu hình tự động trích Bearer Authorization gắn vào luồng Fetch của Application Request đi ra
- Bắt rẽ nhánh văng 401 Unauthorized API lỗi chuyển màn về khung URL Router Đăng Nhập
- Viết thủ tục Logout Function dọn quang toàn bộ Cache Session Data Client","","","Chưa bắt đầu"
"6","Layout Dashboard – Frontend","","- Xây dựng khung Component Container Sidebar Navigation có thể tùy biến hiển thị Tree Menu Item dựa vào Quyền Hạn
- Kích hoạt chức năng Collapsible Toggle Toolbar
- Xây dựng khối Component Header Toolbar chứa hệ thống báo Breadcrumb Navigation, Render Component User Avatar đính kèm Context Dropdown Logout
- Tạo Component Main Frame chứa luồng thay đổi Content Router View chính diện
- Đảm bảo Viewport Rendering áp dụng Style Flex CSS Responsive Grid cho Mobile Framework","","","Chưa bắt đầu"
"7","CRUD Phòng ban – Backend","","- Phân hệ API GET List trả danh mục có kết hợp Module Phân trang Pagination Offset và Module Text Search mã Phòng & Tên Phòng
- Module Create/Update tích hợp Validation bắt buộc rào chắn trường Mã Phòng duy nhất (Unique) không chứa ký tự rỗng
- Module Endpoint Get Detail Account bằng Identifier Key
- Module DELETE API: Áp dụng ràng buộc Logical Constraints hủy bắt lệnh chặn xóa nếu bảng Database này đang trực tiếp liên kết khóa định danh với Record của nhân viên hoặc máy móc","","","Chưa bắt đầu"
"8","CRUD Loại thiết bị – Backend","","- Chạy base cấu trúc xây dựng Route Component Phân loại tài sản thiết bị
- API GET Request Listing & Retrieval Query Keyword
- Viết API Request Code POST & PATCH tuân thủ Validator chặn Trùng tên mã định danh Code Danh mục
- Phát sinh API Error Exceptions Cấu trúc Khóa khi thực thi Delete nếu Catalog Item đính kèm thiết bị tồn tại","","","Chưa bắt đầu"
"9","CRUD Hãng & Model – Backend","","- Quản trị API Framework Danh mục Hãng Phân Phối và Models Hardware
- Tái khởi dụng Code `BaseCrudService` thiết lập Base Parameter Fetch và String Match
- Xử lý Database Restriction Reject Method Delete tránh gián đoạn thông tin chuỗi Máy Tính Data Structure Main Inventory","","","Chưa bắt đầu"
"10","CRUD Hệ điều hành – Backend","","- API xử lý hệ điều hành Software OS Properties
- Kích hoạt Endpoint Router Fetch Phân trang Filter Array List theo text matches (Windows, Mac, Linux...)
- Bọc logic xóa Data không cho hủy record Table nếu Key đang ràng buộc vào Column Hardware System DB Config Device","","","Chưa bắt đầu"
